campus,alumno,clase,dia,lugar,horaInicio,horaFin
ITC,1,1,1,AB1,08:00,8:50
ITC,1,1,1,ACCC,09:30,11:30
ITC,1,1,1,ACCC,11:45,12:45
ITC,1,1,1,ACCC,12:50,14:00
ITC,1,1,1,ACCC,22:00,23:00
ITC,1,1,2,AB1,08:00,8:50
ITC,1,1,2,ACCC,09:30,11:30
ITC,1,1,2,ACCC,11:45,12:45
ITC,1,1,2,ACCC,12:50,14:00
ITC,1,1,2,ACCC,22:00,23:00
ITC,1,1,3,AB1,08:00,8:50
ITC,1,1,3,ACCC,09:30,11:30
ITC,1,1,3,ACCC,11:45,12:45
ITC,1,1,3,ACCC,12:50,14:00
ITC,1,1,3,ACCC,22:00,23:00
ITC,1,1,4,AB1,08:00,8:50
ITC,1,1,4,ACCC,09:30,11:30
ITC,1,1,4,ACCC,11:45,12:45
ITC,1,1,4,ACCC,12:50,14:00
ITC,1,1,4,ACCC,22:00,23:00
ITC,1,1,5,AB1,08:00,8:50
ITC,1,1,5,ACCC,09:30,11:30
ITC,1,1,5,ACCC,11:45,12:45
ITC,1,1,5,ACCC,12:50,14:00
ITC,1,1,5,ACCC,22:00,23:00
